Date,Time,Gender,Device,Activity,,
7/17/14,8:19 AM,male,mobile,1,,
7/17/14,8:34 AM,male,mobile,0,,
7/17/14,8:47 AM,female,desktop,0,,
7/17/14,8:49 AM,female,desktop,0,,
7/17/14,8:54 AM,male,tablet,0,,
7/17/14,8:59 AM,female,tablet,1,,
7/17/14,9:07 AM,male,tablet,0,,
7/17/14,9:15 AM,male,tablet,1,,
7/17/14,9:41 AM,male,desktop,0,,
7/17/14,9:41 AM,male,desktop,0,,
7/17/14,9:50 AM,female,desktop,1,,
7/17/14,9:55 AM,female,mobile,1,,
7/17/14,10:04 AM,male,mobile,0,,
7/17/14,10:11 AM,male,tablet,0,,
7/17/14,10:14 AM,male,desktop,0,,
7/17/14,10:15 AM,male,tablet,1,,
7/17/14,10:24 AM,female,desktop,0,,
7/17/14,10:38 AM,male,tablet,0,,
7/17/14,10:47 AM,female,mobile,1,,
7/17/14,10:51 AM,male,desktop,1,,
7/17/14,11:02 AM,female,tablet,1,,
7/17/14,11:05 AM,male,mobile,1,,
7/17/14,11:05 AM,male,mobile,1,,
7/17/14,11:09 AM,female,mobile,1,,
7/17/14,11:19 AM,male,desktop,1,,
7/17/14,11:27 AM,female,tablet,0,,
7/17/14,11:32 AM,male,desktop,0,,
7/17/14,11:34 AM,female,desktop,1,,
7/17/14,11:43 AM,female,tablet,1,,
7/17/14,11:51 AM,male,tablet,0,,
7/17/14,11:58 AM,male,desktop,1,,
7/17/14,12:08 PM,male,tablet,1,,
7/17/14,12:20 PM,female,tablet,0,,
7/17/14,12:20 PM,female,tablet,1,,
7/17/14,12:49 PM,male,mobile,1,,
7/17/14,12:53 PM,female,desktop,1,,
7/17/14,1:06 PM,female,mobile,0,,
7/17/14,1:08 PM,male,tablet,0,,
7/17/14,1:09 PM,female,tablet,1,,
7/17/14,1:09 PM,male,desktop,0,,
7/17/14,1:10 PM,male,mobile,1,,
7/17/14,1:20 PM,female,desktop,0,,
7/17/14,1:29 PM,female,tablet,0,,
7/17/14,1:30 PM,female,tablet,1,,
7/17/14,1:32 PM,male,mobile,0,,
7/17/14,1:39 PM,male,mobile,0,,
7/17/14,1:39 PM,male,desktop,1,,
7/17/14,1:41 PM,male,desktop,1,,
7/17/14,1:47 PM,female,tablet,1,,
7/17/14,1:47 PM,female,desktop,0,,
7/17/14,1:57 PM,male,mobile,0,,
7/17/14,1:59 PM,male,tablet,1,,
7/17/14,2:26 PM,male,desktop,0,,
7/17/14,2:33 PM,female,desktop,1,,
7/17/14,2:40 PM,female,tablet,0,,
7/17/14,2:53 PM,female,tablet,1,,
7/17/14,2:54 PM,male,desktop,0,,
7/17/14,2:58 PM,female,mobile,0,,
7/17/14,3:00 PM,male,desktop,0,,
7/17/14,3:05 PM,female,tablet,0,,
7/17/14,3:06 PM,male,desktop,0,,
7/17/14,3:10 PM,male,tablet,1,,
7/17/14,3:13 PM,female,desktop,0,,
7/17/14,3:22 PM,female,mobile,1,,
7/17/14,3:28 PM,male,desktop,0,,
7/17/14,3:29 PM,female,mobile,0,,
7/17/14,3:31 PM,female,tablet,1,,
7/17/14,3:31 PM,male,tablet,1,,
7/17/14,3:49 PM,male,desktop,0,,
7/17/14,3:50 PM,female,mobile,1,,
7/17/14,3:55 PM,female,mobile,0,,
7/17/14,4:00 PM,female,mobile,1,,
7/17/14,4:01 PM,male,desktop,0,,
7/17/14,4:07 PM,male,desktop,0,,
7/17/14,4:08 PM,male,desktop,1,,
7/17/14,4:15 PM,female,desktop,1,,
7/17/14,4:21 PM,male,mobile,1,,
7/17/14,4:30 PM,female,desktop,1,,
7/17/14,4:33 PM,male,tablet,1,,
7/17/14,4:49 PM,male,desktop,1,,
7/17/14,5:02 PM,male,tablet,0,,
7/17/14,5:12 PM,male,mobile,1,,
7/17/14,5:16 PM,female,mobile,0,,
7/17/14,5:24 PM,female,tablet,0,,
7/17/14,5:35 PM,male,mobile,0,,
7/17/14,5:42 PM,male,tablet,0,,
7/17/14,5:54 PM,female,tablet,0,,
7/17/14,6:07 PM,female,desktop,0,,
7/17/14,6:22 PM,female,desktop,0,,
7/17/14,6:24 PM,male,tablet,0,,
7/17/14,6:25 PM,female,tablet,0,,
7/17/14,6:27 PM,male,tablet,1,,
7/17/14,6:40 PM,female,desktop,1,,
7/17/14,6:44 PM,male,desktop,0,,
7/17/14,6:49 PM,male,desktop,1,,
7/17/14,6:52 PM,male,desktop,1,,
7/17/14,7:21 PM,male,mobile,1,,
7/17/14,7:24 PM,female,mobile,0,,
7/17/14,7:37 PM,male,desktop,1,,
7/17/14,7:40 PM,male,tablet,0,,
7/17/14,7:42 PM,male,mobile,1,,
7/17/14,7:44 PM,male,desktop,1,,
7/17/14,7:49 PM,female,desktop,0,,
7/17/14,7:50 PM,female,mobile,0,,
7/17/14,7:54 PM,male,desktop,0,,
7/17/14,8:09 PM,male,desktop,0,,
7/17/14,8:25 PM,female,mobile,0,,
7/17/14,8:27 PM,female,tablet,0,,
7/17/14,8:31 PM,female,mobile,1,,
7/17/14,8:35 PM,male,mobile,0,,
7/17/14,8:46 PM,male,desktop,0,,
7/17/14,8:49 PM,female,tablet,1,,
7/17/14,8:50 PM,male,desktop,1,,
7/17/14,8:57 PM,male,mobile,0,,
7/17/14,9:06 PM,female,mobile,0,,
7/17/14,9:07 PM,male,tablet,1,,
7/17/14,9:09 PM,male,tablet,0,,
7/17/14,9:22 PM,male,mobile,0,,
7/17/14,9:27 PM,female,desktop,0,,
7/17/14,9:34 PM,female,desktop,0,,
7/17/14,9:36 PM,male,mobile,0,,
7/17/14,9:43 PM,male,mobile,0,,
7/17/14,9:46 PM,male,tablet,1,,
7/17/14,9:59 PM,female,mobile,1,,
7/17/14,10:12 PM,female,desktop,0,,
7/17/14,10:30 PM,male,tablet,0,,
7/17/14,10:39 PM,female,tablet,0,,
7/17/14,10:39 PM,male,mobile,1,,
7/17/14,10:54 PM,female,mobile,1,,
7/17/14,10:59 PM,female,desktop,1,,
7/17/14,11:13 PM,male,tablet,1,,
7/17/14,11:16 PM,female,mobile,0,,
7/17/14,11:20 PM,female,tablet,0,,
7/17/14,11:24 PM,male,tablet,1,,
7/17/14,11:24 PM,female,mobile,0,,
7/17/14,11:29 PM,female,desktop,0,,
7/17/14,11:35 PM,male,tablet,0,,
7/17/14,11:42 PM,female,desktop,0,,
7/17/14,11:54 PM,male,desktop,0,,
7/17/14,11:58 PM,male,mobile,1,,
